텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
고객님 안녕하세요?  서비스 신청 내용이 확인되었습니다.   상담 시작을 위해 신청시 작성하신 [성함]을 본 채팅으로 회신부탁드립니다.   메시지를 보내주시면 서비스 이용을 위한 상담이 시작됩니다.,서비스이용,이용안내/공지,(전용) 서비스 신청 확인 안내 / 프로임,c0020_service_info_non_01,X,,서비스업,신청,,,
"안녕하세요, 발신 스페이스입니다. 수신자님께서 신청하신 세미나를 안내드립니다.  ▶ 세미나명: #{세미나명} ▶ 진행 일정: #{진행일정}  직접 입력한 메시지: #{추가 메시지}  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 세미나 정보 안내_이미지형_02,semina_info_img_02,문서 확인,,교육,공지/안내,,,
"안녕하세요, #{수신자}님! #{발신 스페이스}입니다.  서비스 소개 및 담당자 연락처 전달드립니다. 아래 문서 확인 후 응답 부탁드립니다.  직접 입력한 메시지: #{추가 메시지}  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 서비스 안내_이미지형_02,company_info_img_02,문서 확인,,기타,공지/안내,,,
"안녕하세요, #{수신자}님! 특강 신청 안내드립니다.  ▶ 특강명: #{특강명} ▶ 진행 일정: #{진행일정}  직접 입력한 메시지: #{추가 메시지}  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 특강 신청 안내_이미지형_02,class_regi_img_02,문서 확인,,교육,신청,,,
"안녕하세요, #{수신자} 회원님. 작은마케팅클리닉 멤버십 모집 관련 사항을 확인해 주세요!  ▶︎ #{제목}  *알림을 요청하신 분들께 발송되는 메시지입니다.  #{추가 메시지 - 아래 버튼 클릭 후 확인해 주세요!}",서비스이용,이용안내/공지,(전용) 멤버십 공지사항 안내_이미지형_01 / 작마클,c0013_member_noti_img_01,확인하기,,서비스업,회원 관리,,,
"안녕하세요, #{수신자}님! 특강 신청 안내드립니다.  ▶ 특강명: #{특강명} ▶ 진행 일정: #{진행일정}  직접 입력한 메시지: #{추가 메시지}  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 특강 신청 안내_이미지형_01,class_regi_img_01,샘플 문서 확인하기,,교육,신청,,,
"안녕하세요, #{수신자}님! #{발신 스페이스}입니다.  서비스 소개 및 담당자 연락처 전달드립니다. 아래 문서 확인 후 응답 부탁드립니다.  직접 입력한 메시지: #{추가 메시지}  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3.에서 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 테스트 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 서비스 안내_이미지형_01,company_info_img_01,샘플 문서 확인하기,,서비스업,공지/안내,,,
"고객님, 안녕하세요. 주문하신 상품이 정상적으로 발송되어 현재 배송 중입니다.  택배사명: #{택배사명} 송장번호: #{송장번호}",배송,배송상태,(공용) 배송현황안내_배송중_이미지형_01,link_parcel_tracking_img_01,배송 상태 확인,,소매업,공지/안내,,,
"안녕하세요, #{발신 스페이스}입니다. #{수신자명} 고객님의 주문이 정상적으로 완료되었습니다.  - 주문 상품: #{상품명}  주문 관련 문의사항은 고객센터로 연락 주시기 바랍니다. 감사합니다.",구매,구매완료,(공용) 주문 완료 안내 알림_이미지형_02,link_order_complete_img_01,주문 내역 확인,,소매업,공지/안내,,,
"안녕하세요, #{수신자명}님. 예방접종 예약 관련하여 안내드립니다.  - 예약일: #{예약일} - 예방접종: #{종류}  변경이나 추가 문의 사항은 본원으로 연락 주시기 바랍니다. 감사합니다.",예약,예약완료,(공용) 병원 예방접종 안내_이미지형_01,msg_hospital_vaccin_img_01,X,,서비스업,예약,,,
"#{수신자명}님, 안녕하세요. 에서 안내드립니다. 퇴원일이 #{퇴원일}로 예정되어 있으니, 퇴원 전 수납을 꼭 완료해 주시기 바랍니다. 추가 문의사항은 고객센터로 연락 부탁드립니다. 감사합니다.",서비스이용,방문서비스,(공용) 병원 퇴원 안내_이미지형_01,msg_hospital_discharge_img_01,X,,서비스업,공지/안내,,,
"안녕하세요, #{수신자명}님. 진료 예약이 정상적으로 완료되었습니다.  - 진료 예약일 : #{진료 예약일}  예약 변경이나 문의사항이 있으시면 고객센터(#{고객센터 전화번호})로 연락해 주시기 바랍니다. 감사합니다.",서비스이용,이용안내/공지,(공용) 병원 진료예약 완료 안내_이미지형_01,msg_vaccination_notice_img_01,X,,서비스업,예약,,,
"안녕하세요, #{수신자명}님. 예방접종 예약 관련하여 안내드립니다.  - 예약일: #{예약일} - 예방접종: #{종류}  변경이나 추가 문의 사항은 본원으로 연락 주시기 바랍니다. 감사합니다.",예약,예약완료,(공용) 병원 예방접종안내 알림_이미지형_02,link_vaccination_notice_img_01,예약 확인,,기타,예약,,,
"안녕하세요, #{수신자명} 고객님. #{발신 스페이스}입니다. 고객님께서 대여하신 #{차량번호} 차량의 대여가 완료되었습니다. 안전 운전하시고, 즐거운 여행 되시길 바랍니다. 감사합니다.",서비스이용,방문서비스,(공용) 차량대여 대여완료_이미지형_01,msg_rental_confirmed_img_01,X,,서비스업,공지/안내,,,
"#{수신자명}님, 안녕하세요. 문의하신 내용에 대한 답변이 완료되었습니다.  추가 문의 사항이 있으시면 언제든 연락 부탁드립니다.",서비스이용,이용안내/공지,(공용) 문의 답변 완료 알림_이미지형_02,link_support_reply_img_01,답변 확인,,기타,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 숙소 입실 관련하여 아래 안내드립니다.  - 입실시간: #{입실시간}부터 (입실시간 전 도착 시 입실이 불가할 수 있습니다.) - 픽업 서비스: 필요 시 #{숙소전화번호}로 사전 연락 바랍니다. - 퇴실시간: 다음날 #{퇴실시간}까지 (초과 시 추가 요금이 부과됩니다.)  편안하고 즐거운 숙박 되시길 바랍니다. 감사합니다.",서비스이용,방문서비스,(공용) 숙소 입실 안내_이미지형_01,msg_room_access_img_01,X,,서비스업,공지/안내,,,
"안녕하세요, #{수신자명}님. 면접 결과 안내드립니다.  면접 전형 결과는 홈페이지에서 확인 가능하오니 참고 부탁드립니다. 지원해주셔서 감사합니다.",서비스이용,이용안내/공지,(공용)  면접 전형 결과 발표 알림_이미지형_02,link_interview_result_img_01,홈페이지,,기타,공지/안내,,,
"안녕하세요, #{발신 스페이스}입니다. #{수신자명} 고객님의 주문이 정상적으로 완료되었습니다.  - 주문 상품: #{상품명}  주문 관련 문의사항은 고객센터로 연락 주시기 바랍니다. 감사합니다.",구매,구매완료,(공용) 주문 완료 안내_이미지형_01,msg_order_complete_img_01,X,,소매업,공지/안내,,,
"#{수신자명}님, 안녕하세요. #{발신 스페이스}에서 안내드립니다.  서류 전형 결과가 발표되어 확인 가능합니다. 지원해주신 모든 분들께 감사의 말씀을 전하며, 문의사항은 고객센터로 연락 부탁드립니다.",서비스이용,이용안내/공지,(공용) 서류 전형 결과 발표 알림_이미지형_02,link_doc_result_img_01,홈페이지,,기타,공지/안내,,,
"안녕하세요, #{수신자명}님. 저희에 가입해주셔서 감사합니다. 보험 관련 문의사항은 고객센터로 연락 주시면 상세히 안내해드립니다. 행복하고 편안한 여행 되시길 바랍니다.",서비스이용,이용안내/공지,(공용) 여행자보험 가입완료_이미지형_01,msg_travel_insured_img_01,X,,금융,회원 관리,,,
"안녕하세요, #{수신자명} 고객님. 주문하신 상품(주문번호: #{주문번호}, 상품명: #{상품명})이 품절되어 배송이 지연되고 있습니다. 재입고 시 신속하게 배송해드리겠습니다. 환불을 원하시면 주문 취소를 요청해주시기 바랍니다. 죄송합니다.",배송,배송상태,(공용) 상품 품절 안내_이미지형_01,msg_product_soldout_img_01,X,,소매업,공지/안내,,,
"안녕하세요, #{수신자명} 고객님. 현재 납부되지 않은 보험료로 인해 가입하신 보험이 곧 실효될 예정입니다.  납부 안내 - 자동이체 이용 시: 등록하신 계좌 잔액 확인 바랍니다. - 가상계좌 및 신용카드: #{실효 예정일} 이전 입금 부탁드립니다.  문의사항이 있으시면 고객센터로 연락 주시기 바랍니다.",법적고지,주문/예약,(공용) 보험료 안내 - 미납_이미지형_01,msg_insurance_notice_img_01,X,,금융,공지/안내,,,
"안녕하세요, #{수신자명} 고객님. #{발신 스페이스}입니다.  주문하신 상품이 배송 완료되었습니다. 제품을 잘 받으셨다면, 구매확정 및 리뷰 작성 부탁드립니다. 저희 제품을 선택해주셔서 감사드리며, 행복한 하루 보내세요!",서비스이용,이용안내/공지,(공용) 배송 완료 안내_이미지형_01,msg_ship_complete_img_01,X,,소매업,공지/안내,,,
"#{수신자명}님, 안녕하세요. 서류 전형 결과가 발표되어 홈페이지에서 확인 가능합니다. 지원해주신 모든 분들께 감사의 말씀을 전하며, 문의사항은 고객센터로 연락 부탁드립니다.",서비스이용,이용안내/공지,(공용) 서류 전형 결과 발표_이미지형_01,msg_doc_result_img_01,X,,기타,공지/안내,,,
"안녕하세요, #{수신자명}님. 면접 결과 안내드립니다. 면접 전형 결과는 홈페이지에서 확인 가능하오니 참고 부탁드립니다. 지원해주셔서 감사합니다.",서비스이용,이용안내/공지,(공용) 면접 전형 결과 발표_이미지형_01,msg_interview_result_img_01,X,,기타,공지/안내,,,
"#{수신자명}님, 고객님의 상품 발송 안내입니다.  - 상품명 : #{상품명} - 택배사 : #{택배사명} - 송장번호 : #{송장번호}  편안한 하루 되세요. 감사합니다.",배송,배송상태,(공용) 배송현황안내_발송완료 알림_이미지형_01,link_delivery_status_img_01,구매 내역,,소매업,공지/안내,,,
"안녕하세요, 고객님입니다. 고객님께서 문의하신 내용이 정상적으로 접수되었습니다. 최대한 빠른 시일 내에 답변 드리겠습니다.",서비스이용,이용안내/공지,(공용) 문의 접수 완료_이미지형_01,msg_support_request_img_01,X,,서비스업,공지/안내,,,
"#{수신자명}님, 안녕하세요. 문의하신 내용에 대한 답변이 완료되었습니다. 추가 문의 사항이 있으시면 언제든 연락 부탁드립니다.",서비스이용,이용안내/공지,(공용) 문의 답변 완료_이미지형_01,msg_support_reply_img_01,X,,기타,공지/안내,,,
"안녕하세요, #{수신자명}님. #{발신 스페이스}입니다. 고객님의 회원 등급이 변경되었습니다.  - 기존 등급: #{기존 등급} - 변경 등급: #{변경 등급}  앞으로도 많은 이용 부탁드립니다.",회원,회원가입,(공용) 회원 등급 변경_이미지형_01,msg_membership_upgrade_img_01,X,,서비스업,회원 관리,,,
"안녕하세요, 입니다. 님의 월 수강료가 아직 납부되지 않은 것으로 확인됩니다. 빠른 확인 부탁드리며, 문의사항이 있으시면 연락 바랍니다. 감사합니다.",리포팅,피드백,(공용) 수강료 미납 현황 안내_이미지형_01,msg_edu_fee_due_img_01,X,,교육,공지/안내,,,
"안녕하세요,  님의 월 수강료 납부가 확인되었습니다. 항상 을(를) 이용해 주셔서 감사드리며, 앞으로도 최선을 다하겠습니다. 감사합니다.",서비스이용,이용안내/공지,(공용) 수강료 납부 현황 안내_이미지형_01,msg_edu_fee_status_img_01,X,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 예정된 온라인 교육의 참가코드가 아래와 같이 발송되었습니다. • 교육일자: 교육일자 • 교육시간: 교육시간 • 참가코드: 참가코드 자세한 문의는 문의번호로 연락해 주세요. 감사합니다.",서비스이용,이용안내/공지,(공용) 참가코드 안내_이미지형_01,msg_participant_code_img_01,X,,교육,공지/안내,,,
"#{수신자}님, 레지던스 입실 안내서를 확인해 주세요.",서비스이용,방문서비스,(전용) 레지던스 입실 안내 / 공간7,c0017_resi_enter_img_01,비대면 입실하기,,부동산,공지/안내,,,
"#{수신자}님, 스테이 입실 안내서를 확인해 주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,방문서비스,(전용) 스테이 입실 안내 / 공간7,c0017_stay_enter_img_01,비대면 입실하기,,서비스업,공지/안내,,,
"▶︎ #{제목}  #{수신자} 구독자님, 오늘의 소식이 도착했습니다.  #{추가메시지}",서비스이용,이용안내/공지,(전용) 일간마케팅이 도착했습니다_이미지형_02 / 작마클,c0013_news_received_img_02,확인하기,,기타,공지/안내,,,
"수신자님, 공간7에서 이용하실 콘텐츠를 확인하세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,이용안내/공지,(전용) 콘텐츠 안내 / 공간7,c0017_special_noti_img_01,알아보기,,기타,공지/안내,,,
"■ #{제목}  안녕하세요, 수니네일입니다. 신청하신 강의 안내 문서가 도착했습니다.  #{추가 메시지 - 아래 버튼 클릭 후 확인 부탁드립니다.}  #{수신거부 - 수신거부링크}",서비스이용,이용안내/공지,수신거부테스트,test_received_img_01,문서 확인,,교육,공지/안내,,,
"안녕하세요, #{수신자}님. 문의주신 내용에 답변드립니다.   #{답변}  궁금하신 사항은 09:00~18:00 사이 채널을 통해 문의주세요.",서비스이용,이용안내/공지,(전용) 문의 답변 안내 / 공간7,c0017_qna_noti_img_01,X,,기타,공지/안내,,,
"#{수신자}님, 더 나은 공간을 위해 의견을 남겨주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,피드백 요청,(전용) 의견 조사 / 공간7,c0017_survey_noti_img_01,의견 남기기,,기타,공지/안내,,,
"수신자님, 반려견 입실에 필요한 서류를 확인해 주세요.",서비스이용,방문서비스,(전용) 필요 서류 안내 / 공간7,c0017_doc_noti_img_01,서류 첨부하기,,서비스업,공지/안내,,,
"수신자님, 객실에서 이용하신 서비스를 확인해 주세요.   ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,이용안내/공지,(전용) 결제 안내 / 공간7,c0017_pay_noti_img_01,결제 내역 확인,,서비스업,공지/안내,,,
"#{수신자}님, 퇴실 안내 사항을 확인해 주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,방문서비스,(전용) 퇴실 안내 / 공간7,c0017_checkout_noti_img_01,안내 사항 확인,,서비스업,공지/안내,,,
"#{수신자}님, 객실에서 이용하실 서비스를 신청해 주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,신청접수,(전용) 객실 서비스 안내 / 공간7,c0017_service_noti_img_01,서비스 신청하기,,서비스업,신청,,,
"#{수신자}님, 비밀번호를 확인해 주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",회원,회원가입,(전용) 비밀번호 안내 / 공간7,c0017_pass_noti_img_01,우체통 비밀번호 확인,,기타,공지/안내,,,
"#{수신자}님, 출입을 위해 차량번호를 등록해 주세요.  ￭ 발신 : #{발신 스페이스} ￭ 제목 : #{제목}  #{추가 메시지}",서비스이용,이용도구,(전용) 차량번호 등록 안내 / 공간7,c0017_car_regi_img_01,차량 번호 등록하기,,기타,예약,,,
"안녕하세요, #{수신자}님! 회원이 되신 것을 환영합니다.  🔔 신규 회원 안내 사항 🔔 #{안내사항}",서비스이용,이용안내/공지,(공용) 회원 안내사항 전달_이미지형_01,signup_done_img_01,X,,서비스업,회원 관리,,,
"[템플릿 내용] [투표 안내] 안녕하세요, #{수신자}님! #{투표명} 투표 링크를 전달드립니다.  👥 대상자 : #{대상자} 📅 기간 : #{기간}  #{추가 메시지 - 기간 내에 투표 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 투표 안내_이미지형_01,vote_recieved_img_01,투표하기,,기타,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 목적을(를) 위한 장소명 주소를 안내드립니다.  📍 위치 : 위치  추가 메시지 - 오시는 방법",서비스이용,방문서비스,(공용) 주소 안내_이미지형_01,address_info_img_01,지도 확인하기,,기타,공지/안내,,,
"[템플릿 내용] [이용권 만료 알림] 안녕하세요, 입니다. 이용권이 만료되었습니다.  📅 만료 일자 :   추가 이용을 원하시면 센터 방문 후 재등록 해주시기 바랍니다.",서비스이용,리마인드,(공용) 이용권 만료 알림_이미지형_01,ticket_expired_img_01,X,,서비스업,공지/안내,,,
신청하신 강의가 곧 시작됩니다.  ▶ 강의명 : #{강의명} ▶ 강의 일정 : #{강의일정}  아래 버튼 클릭 후 접속해 주세요.  #{추가 메시지 - 강의 시작 5분 전까지 입장 부탁드립니다.},서비스이용,이용안내/공지,(공용) 온라인 강의 접속 안내_이미지형_01,onlineclass_access_img_01,강의 접속하기,,교육,공지/안내,,,
온라인 강의 신청이 정상 완료되었습니다.  ▶ 강의명 : #{강의명} ▶ 강의 일정 : #{강의일정} ▶ 안내사항 : #{안내사항},서비스이용,이용안내/공지,(공용) 온라인 강의 신청 완료 안내_이미지형_01,onlineclass_apply_img_01,X,,교육,신청,,,
"안녕하세요, #{수신자}님!  보내주신 상품을 확인한 결과, 배터리 교체가 필요하다고 판단되어 연락드립니다. 두 가지 옵션을 안내 드리니 참고 부탁드립니다.  1. 배터리 교체 교체 비용: 25,000원 배터리 교체를 원하실 경우, 네이버에서 A/S 25,000원을 결제해 주시면 됩니다.  2. 보상판매 공홈 가격의 30% 할인 L7: 118,800원 → 83,000원 L8: 69,000원 → 48,300원 보상판매를 원하실 경우, 네이버에서 검색한 후 알림받기 버튼을 누르시고, 톡톡으로 아이디를 알려주시면 30% 할인 쿠폰을 보내드립니다.  감사합니다. :)",구매,상품가입,(전용) 배터리 교체 안내_기본형_01 / 라벨르,c0017_as_battery_non_01,라벨르 홈뷰티 바로가기,,소매업,쿠폰,,,
"■ #{제목}  안녕하세요, 수니네일입니다. 신청하신 강의 안내 문서가 도착했습니다.  #{추가 메시지 - 아래 버튼 클릭 후 확인 부탁드립니다.}",서비스이용,이용안내/공지,(전용) 링크_ 문서 도착 알림_기본형_01 / 수니네일,c0012_talk_received_non_01,자세히 확인하기,,교육,공지/안내,,,
"■ #{제목}  안녕하세요, 수니네일입니다. 신청하신 강의 안내 문서가 도착했습니다.  #{추가 메시지 - 아래 버튼 클릭 후 확인 부탁드립니다.}",서비스이용,이용안내/공지,(전용) 링크_ 문서 도착 알림_이미지형_01 / 수니네일,c0012_talk_received_img_01,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 수신자님께서 신청하신 이달의 세미나를 안내드립니다.  ▶ 세미나명: 세미나명 ▶ 진행 일정: 진행일정  직접 입력한 메시지: 추가 메시지 - 늦지 않게 입장 부탁드립니다.  --------- STEP 1. '샘플 문서 확인하기' 클릭 STEP 2. '사용해 볼래요!' 클릭 STEP 3. 자버에서 직접 보내보기  * 샘플 받아보기를 요청하신 분들께 발송된 메시지입니다. * 번호 오입력으로 발송되는 경우가 발생할 수 있으니 양해 부탁드립니다.",서비스이용,이용안내/공지,(샘플) 세미나 정보 안내_이미지형_01,semina_info_img_01,샘플 문서 확인하기,,교육,공지/안내,,,
"안녕하세요, #{수신자}님! 가장 쉬운 카톡 발송 서비스에 가입해 주셔서 감사합니다.  🎁 신규 회원 제공 혜택 🎁 1. 무료 발송 10건 2. 1:1 맞춤 상담 3. 요금제별 온보딩 프로그램  PC로 접속하여 무료 발송을 체험해 보세요! ▶︎ 주소창에 jober.io 입력",회원,회원가입,(전용) 회원가입 알림_기본형_03 / jober,c0002_signup_done_non_03,자버 바로가기,,IT/소프트웨어,회원 관리,,,
"[템플릿 내용] [수업 일정 변경 공지] 안녕하세요, 발신 스페이스입니다. 부득이하게 수업 일정이 변경되어 공지드립니다.  ✏️ 수업명 : 수업명 ⚫️ 기존 일정 : 기존일정 🟣 변경 일정 : 변경일정  추가 메시지 - 변경된 일정에 참여가 어려우실 경우, 01000000000로 연락주세요.",서비스이용,이용안내/공지,(공용) 수업 일정 공지_이미지형_메시지_02,msg_academy_schedule_img_02,X,,교육,공지/안내,,,
"[템플릿 내용] [수업 일정 변경 공지] 안녕하세요, 발신 스페이스입니다. 부득이하게 수업 일정이 변경되어 공지드립니다.  ✏️ 수업명 : 수업명 ⚫️ 기존 일정 : 기존일정 🟣 변경 일정 : 변경일정  추가 메시지 - 변경된 일정에 참여가 어려우실 경우, 01000000000로 연락주세요.",서비스이용,이용안내/공지,(공용) 수업 일정 공지_이미지형_02,academy_schedule_img_02,자세히 확인하기,,교육,공지/안내,,,
"[템플릿 내용] [수업 일정 안내] 안녕하세요, 입니다. 수업 일정을 안내드립니다.  ✏️ 수업명 : #{수업명} ✏️ 일정 : #{일정}  #{추가 메시지 - 수업 시작 10분 전까지 강의실에 입장 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 수업 일정 공지_이미지형_메시지_01,msg_academy_schedule_img_01,X,,교육,공지/안내,,,
"[템플릿 내용] [수업 일정 안내] 안녕하세요, 입니다. 수업 일정을 안내드립니다.  ✏️ 수업명 : #{수업명} ✏️ 일정 : #{일정}  #{추가 메시지 - 수업 시작 10분 전까지 강의실에 입장 부탁드립니다.}",서비스이용,이용안내/공지,(공용) 수업 일정 공지_이미지형_01,academy_schedule_img_01,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 참석하신 수업 관련 자료 전달드립니다.  ✏️ 수업명 : #{수업명} ✏️ 자료명 : #{자료명}  #{추가 메시지 - 자료 열람 기간은 24일까지이며 비밀번호는 0000입니다.}",서비스이용,이용안내/공지,(공용) 수업 자료 전달_이미지형_링크_01,link_academy_materials_img_01,자료 확인하기,,교육,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 참석하신 수업 관련 자료 전달드립니다.  ✏️ 수업명 : #{수업명} ✏️ 자료명 : #{자료명}  #{추가 메시지 - 자료 열람 기간은 24일까지이며 비밀번호는 0000입니다.}",서비스이용,이용안내/공지,(공용) 수업 자료 전달_이미지형_01,academy_materials_img_01,자료 확인하기,,교육,공지/안내,,,
"📢 테스트 메세지: 알림톡 테스트 메시지입니다.  #{추가메세지}  이 알림은 회원님의 요청에 따라 발송되었습니다.  이 메시지는 테스트 목적으로 발송되었습니다. 문제가 있을 경우, 고객센터로 문의해주세요.",서비스이용,이용안내/공지,(공용) 메세_샘플 기본형_01,msg_smaple_non_01,X,,기타,공지/안내,,,
■ 제목 : #{제목}  안녕하세요. 신청하신 마케팅 전략 강의 안내 문서가 도착했습니다.  #{추가 메시지 - 문서에 기재된 기한까지 제출 부탁드립니다.},서비스이용,이용안내/공지,(전용) 문서 도착 알림_이미지형_01 / 스토어링크,c0016_doc_received_img_01,확인하기,,교육,공지/안내,,,
"📢 테스트 메세지: 알림톡 테스트 메시지입니다.  #{추가메세지}  이 알림은 회원님의 요청에 따라 발송되었습니다.  이 메시지는 테스트 목적으로 발송되었습니다. 문제가 있을 경우, 고객센터로 문의해주세요.",서비스이용,이용안내/공지,(공용) 링크_샘플 기본형_01,link_smaple_non_01,확인하기,,기타,공지/안내,,,
"■ 발신 :  ■ 제목 : 여행 견적 안내드립니다.  #{수신자}님, 요청주신 여행관련 기초견적 안내드립니다.  항공&숙소의 경우 실시간 확인 기준이며 확정 후 예약 진행됩니다. 기타 궁금사항 있으시면 언제든지 연락주세요.  카톡상담) 성함/문의사항 유선문의) 064-713-6700",서비스이용,이용안내/공지,(전용) 견적서 전달_기본형_01 / 하나투어제주,c0015_qoute_received_non_01,견적서 확인하기,,서비스업,공지/안내,,,
수신자 회원님의 PT 결과를 안내드립니다.  ► 기간: #{기간} ► 결과: #{결과}  #{추가 메시지 - 꾸준한 노력으로 만들어낸 인바디 변화를 확인해 보세요.},서비스이용,이용안내/공지,(공용) PT 결과 안내_기본형_01,pt_result_non_01,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. 내용을 꼼꼼히 읽어보신 후, 수강신청을 완료해주세요.  ▶ 수업명 : #{수업명} ▶ 신청기한 : #{신청마감기한}",서비스이용,이용안내/공지,(전용) 수강신청_이미지형_01 / 봉국어학원,c0014_class_apply_img_01,수강신청,,교육,신청,,,
"안녕하세요, 영상보강 전달드립니다.  ▶ 수업명 : #{수업명} ▶ 영상 열람기한 : #{열람기한} ▶ 자료보관함 자료 보관여부 : #{없음/교재명}",서비스이용,이용안내/공지,(전용) 영상 보강 전달_이미지형_01 / 봉국어학원,c0014_class_video_img_01,확인하기,,교육,공지/안내,,,
"▶︎ #{제목}  #{수신자} 구독자님, 오늘의 소식이 도착했습니다.  - 칼럼을 읽고 문서 맨 아래 설문에 응답해 주세요. (1분 챌린지)  #{추가메시지 - 칼럼 해설은 아침 방송으로 보시고, 출첵하시면 됩니다. (10분 챌린지)}",서비스이용,이용안내/공지,(전용) 일간마케팅이 도착했습니다_이미지형_01 / 작마클,c0013_news_received_img_01,확인하기,,기타,공지/안내,,,
안녕하세요. #{수신자}님께서 보유하신 적립금이 소멸될 예정임을 안내드립니다.  - 소멸 예정 적립금 : #{소멸예정적립금}원 - 사용 가능 기한 : ~#{사용가능기한}  #{추가메시지 - 마포점에서만 사용 가능한 적립금입니다.}  ※ 이 메시지는 이용약관(계약서) 동의에 따라 지급된 적립금의 소멸 안내 메시지입니다.,쿠폰/포인트,쿠폰발급,(전용예시) 적립금 소멸 알림_이미지형_01,point_expired_img_01,자세히 확인하기,,소매업,공지/안내,,,
"■ #{제목}  안녕하세요, #{발신 스페이스}입니다. #{수신자}님께서 요청하신 세미나 안내를 전달드립니다.  ▶ 세미나명: #{세미나명} ▶ 진행 일정: #{진행일정}  #{추가 메시지 - 신청을 원하시면 문서에 응답해 주세요.}",서비스이용,이용안내/공지,(공용) 세미나 정보 안내_기본형_01,semina_info_non_01,자세히 확인하기,,교육,공지/안내,,,
"■ #{제목}  안녕하세요, #{수신자} 영업사원님! 학습 자료가 도착했습니다.  #{추가 메시지 - 판매 팁 학습 후 퀴즈 풀어서 제출 부탁드립니다.}  *영업사원 계약 사항에 의거하여 발송된 메시지입니다.",서비스이용,이용안내/공지,(전용예시) 학습 자료 전달_기본형_01,training_materials_non_01,확인하기,,교육,공지/안내,,,
"안녕하세요, 펌 시술 후 머릿결 관리 꿀팁을 안내드립니다!  #{추가 메시지 - 겨울철에는 더욱 열심히 관리해주세요.}  *시술 후 요청하신 분들께 발송된 메시지입니다.",서비스이용,이용안내/공지,(전용예시) 꿀팁 안내_이미지형_01,tip_received_img_01,자세히 확인하기,,서비스업,공지/안내,,,
[템플릿 내용] [이용권 만료 알림] 안녕하세요. 이용권이 만료되었습니다.  📅 만료 일자 : #{만료일자}  #{추가 메시지 - 추가 이용을 원하시면 센터 방문 후 재등록 해주시기 바랍니다.},서비스이용,리마인드,(공용) 이용권 만료 알림_기본형_01,ticket_expired_non_01,X,,서비스업,공지/안내,,,
"안녕하세요, 발신 스페이스입니다. 요청주신 목적 진행을 위한 페이지명 접속 링크 전달드립니다.  추가 메시지 - 페이지에 기재된 설명에 따라 진행 부탁드립니다.",기타,기타,(공용) 페이지 링크 전달_기본형_01,page_link_non_01,페이지 열기,,기타,공지/안내,,,
